image_path,hueColorPrincipal,saturationColorPrincipal,brightnessColorPrincipal,num_colors,avg_hue_diff,avg_saturation,avg_pure_saturation,avg_lightness,avg_pure_lightness,Jerarquia
paso1_procesamientoImagenes/imagesVibrant\Vibrante_016.jpg,,,,6,101.4065934,23.07336583,,18.19607843,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_017.jpg,,,,4,89.09333975,30.06159772,,23.92156863,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_018.jpg,,,,6,31.68391057,18.8285497,,10.15686275,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_019.jpg,,,,6,71.46086957,20.80273628,,18.78431373,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_020.jpg,,,,6,44.09418487,28.1547619,,25.84313725,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_021.jpg,,,,5,207.0382024,32.63104013,,20,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_022.jpg,,,,5,134.9921427,36.95966036,,17.35294118,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_023.jpg,,,,4,223.8338231,21.96978349,,47.7124183,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_024.jpg,,,,6,224.805682,36.1744892,,33.37254902,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_025.jpg,,,,6,273.9467407,27.22231914,,26.2745098,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_026.jpg,,,,6,81.15796221,38.8581591,,12.35294118,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_027.jpg,,,,5,107.605042,15.90909091,,34.65686275,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_028.jpg,,,,6,56.55428922,8.637780946,,7.764705882,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_029.jpg,,,,4,73.21259433,18.20662768,,24.37908497,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_030.jpg,,,,6,138.247643,31.41550342,,14.94117647,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_031.jpg,,,,6,145.8615905,31.16651018,,39.01960784,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_032.jpg,,,,4,28.4729064,19.14562978,,,7.647058824,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_033.jpg,,,,4,47.06741091,27.18418119,,17.38562092,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_034.jpg,,,,5,22.77820122,79.03275736,,53.97058824,,Diagonal
paso1_procesamientoImagenes/imagesVibrant\Vibrante_035.jpg,,,,5,46.01025517,33.17783094,,25.88235294,,Diagonal
