image_path,hueColorPrincipal,saturationColorPrincipal,brightnessColorPrincipal,num_colors,avg_hue_diff,avg_saturation,avg_pure_saturation,avg_lightness,avg_pure_lightness,Jerarquia
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_09.jpg,0.0,0.0,17.254901960784313,2,349.54545454545456,77.64705882352942,,,23.72549019607843,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_09.jpg,0.0,0.0,17.254901960784313,1,0.0,,0.0,,74.50980392156863,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_03.jpg,183.63636363636363,27.27272727272727,23.72549019607843,6,121.48351339063413,7.163721519217427,,19.647058823529413,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_03.jpg,183.63636363636363,27.27272727272727,23.72549019607843,5,38.24675324675322,15.954748899606102,,17.1078431372549,,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_03.jpg,183.63636363636363,27.27272727272727,23.72549019607843,6,84.39999999999999,,14.539933818991079,12.156862745098035,,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_03.jpg,183.63636363636363,27.27272727272727,23.72549019607843,6,78.37090909090907,13.638695070528513,,29.01960784313726,,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_10.jpg,228.00000000000003,11.627906976744214,91.5686274509804,6,39.58522098056986,31.84571831198079,,27.333333333333336,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_10.jpg,228.00000000000003,11.627906976744214,91.5686274509804,4,56.97594501718216,32.42355155262805,,50.45751633986928,,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_10.jpg,228.00000000000003,11.627906976744214,91.5686274509804,6,47.74930875576041,44.31765759085705,,45.058823529411754,,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_10.jpg,228.00000000000003,11.627906976744214,91.5686274509804,5,77.65838509316777,12.702265006805543,,47.40196078431373,,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_13.jpg,72.00000000000027,6.666666666666682,85.29411764705883,5,14.526785714285682,18.302591128678078,,13.87254901960784,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_13.jpg,72.00000000000027,6.666666666666682,85.29411764705883,3,19.636363636363587,25.21602513747056,,18.33333333333333,,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_13.jpg,72.00000000000027,6.666666666666682,85.29411764705883,3,22.373831775700868,27.8795594177229,,11.66666666666666,,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_13.jpg,72.00000000000027,6.666666666666682,85.29411764705883,3,25.2631578947369,,12.837254108625698,,85.16339869281046,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_02.jpg,69.99999999999996,11.111111111111118,89.41176470588235,6,51.71685503685502,17.163754278508385,,46.86274509803921,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_02.jpg,69.99999999999996,11.111111111111118,89.41176470588235,6,39.25882352941174,13.922653993104092,,22.588235294117645,,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_02.jpg,69.99999999999996,11.111111111111118,89.41176470588235,5,49.193349753694456,6.051587301587298,,14.901960784313722,,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_02.jpg,69.99999999999996,11.111111111111118,89.41176470588235,5,60.38879598662211,13.9447895100069,,37.59803921568627,,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_06.jpg,46.153846153846146,53.06122448979591,19.215686274509807,6,41.337198531070655,22.27992959421531,,31.254901960784316,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_06.jpg,46.153846153846146,53.06122448979591,19.215686274509807,4,44.96596895203128,22.34232084625786,,,15.735294117647058,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_06.jpg,46.153846153846146,53.06122448979591,19.215686274509807,5,20.733195168256316,12.259518059941874,,12.647058823529413,,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_06.jpg,46.153846153846146,53.06122448979591,19.215686274509807,4,32.0264739521428,,42.710401792368,11.699346405228754,,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_12.jpg,38.8235294117647,37.777777777777786,35.29411764705882,6,48.513165266106434,13.720055186253603,,7.137254901960786,,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_12.jpg,38.8235294117647,37.777777777777786,35.29411764705882,6,65.85205479452055,11.870769815665653,,20.11764705882353,,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_12.jpg,38.8235294117647,37.777777777777786,35.29411764705882,6,41.50000000000001,,21.556269168858922,16.666666666666664,,Simetria
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_12.jpg,38.8235294117647,37.777777777777786,35.29411764705882,6,41.16712328767123,10.564220396416468,,7.254901960784314,,Tercios
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_11.jpg,37.50000000000008,9.523809523809526,83.52941176470587,3,12.527472527472522,,12.060113328406013,,74.44444444444444,Espiral
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_11.jpg,37.50000000000008,9.523809523809526,83.52941176470587,6,26.676609373331882,34.58459782606025,,26.98039215686274,,Diagonal
paso1_procesamientoImagenes/imagesMinimalist\Minimalista_11.jpg,37.50000000000008,9.523809523809526,83.52941176470587,5,24.512195121951255,64.99999999999999,,39.55882352941176,,Simetria
